"","Accession","Seed color","Tipburn","Height (cm)","Bolting time (days)","Leaf color","Leaf shape","Leaf margin","Leaf wrinkle","Leaf thickness","Twisted vein","Leaf blister","Degree of heading","Damaged leaf"
"503",503,"light brown","NA","120","63","green","oblong","entire","smooth","normal","Yes","blister","loose leaf","No"
"504",504,"light brown","tipburn","140","69","green","oblong","entire","smooth","normal","Yes","smooth","heading","No"
"505",505,"light brown","NA","100","54","green","oblong","entire","smooth","normal","Yes","slight blister","closed heading","Yes"
"506",506,"dark brown","NA","140","70","light green","oblong","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
"507",507,"white","tipburn","100","63","green","orbicular","entire","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"508",508,"black","NA","100","81","light green","orbicular","entire","slight wrinkle","thick","No","smooth","closed heading","No"
"509",509,"black","NA","90","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"510",510,"light brown","NA","150","64","dark green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"511",511,"white","NA","NA","64","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"512",512,"white","NA","NA","NA","green","orbicular","serrate","wrinkle","normal","No","blister","closed heading","Yes"
"513",513,"black","NA","NA","NA","green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"514",514,"black","NA","190","69","green","oblong","dissected","smooth","normal","No","smooth","loose leaf","No"
"515",515,"black","NA","125","54","light green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"516",516,"black","NA","130","59","dark green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"517",517,"black","NA","150","63","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"518",518,"dark brown","NA","165","71","green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"519",519,"black","NA","180","68","green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"520",520,"black","NA","190","63","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"521",521,"black","NA","170","63","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"522",522,"light brown","NA","130","69","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"523",523,"black","NA","120","63","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"524",524,"light brown","NA","120","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"525",525,"light brown","NA","120","64","dark green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"526",526,"black","NA","140","63","green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"527",527,"light brown","NA","145","49","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"528",528,"black","NA","130","49","green","lanceolate","entire","slight wrinkle","normal","No","smooth","closed heading","Yes"
"529",529,"dark brown","NA","NA","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"530",530,"light brown","NA","140","70","green","oblong","crenate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"531",531,"black","normal","90","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"532",532,"light brown","normal","90","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"533",533,"light brown","tipburn","NA","63","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"534",534,"dark brown","NA","NA","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"535",535,"black","tipburn","NA","63","green","ovate","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"536",536,"black","NA","NA","54","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"537",537,"light brown","normal","NA","63","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"538",538,"black","NA","NA","58","light green","ovate","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"539",539,"dark brown","NA","NA","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"540",540,"dark brown","NA","NA","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"541",541,"black","NA","NA","54","green","oblong","serrate","slight wrinkle","normal","No","slight blister","loose leaf","No"
"542",542,"black","tipburn","NA","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"543",543,"light brown","NA","NA","63","dark green","lanceolate","laciniate","smooth","normal","No","smooth","loose leaf","No"
"544",544,"light brown","NA","NA","49","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"545",545,"light brown","NA","NA","71","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"546",546,"light brown","NA","NA","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"547",547,"light brown","NA","NA","68","green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"548",548,"black","NA","NA","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"549",549,"light brown","NA","NA","70","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"550",550,"light brown","NA","NA","49","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"551",551,"light brown","NA","NA","54","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"552",552,"dark brown","NA","NA","70","green","oblong","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"553",553,"dark brown","slight tipburn","NA","83","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","Yes"
"554",554,"dark brown","normal","NA","68","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"555",555,"dark brown","tipburn","NA","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"556",556,"white","tipburn","NA","89","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"557",557,"dark brown","normal","NA","78","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"558",558,"light brown","NA","NA","78","light green","orbicular","serrate","slight wrinkle","normal","Yes","blister","heading","No"
"559",559,"dark brown","NA","NA","80","green","orbicular","serrate","wrinkle","normal","Yes","blister","heading","No"
"560",560,"dark brown","normal","NA","70","green","orbicular","serrate","slight wrinkle","normal","Yes","blister","closed heading","No"
"561",561,"dark brown","NA","NA","54","dark green","linear","dissected","smooth","normal","No","smooth","loose leaf","No"
"562",562,"light brown","tipburn","NA","49","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","heading","Yes"
"563",563,"dark brown","normal","NA","63","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"564",564,"dark brown","normal","NA","85","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"565",565,"dark brown","normal","NA","NA","green","orbicular","crenate","slight wrinkle","thick","Yes","smooth","heading","No"
"566",566,"dark brown","normal","NA","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"567",567,"dark brown","normal","NA","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"568",568,"light brown","NA","NA","69","dark green","ovate","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"569",569,"black","NA","NA","70","light green","ovate","entire","slight wrinkle","normal","Yes","smooth","heading","Yes"
"570",570,"black","NA","NA","63","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","Yes"
"571",571,"black","NA","NA","71","green","lanceolate","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"572",572,"black","NA","NA","NA","dark green","oblong","serrate","smooth","normal","No","smooth","loose leaf","No"
"573",573,"black","NA","NA","70","green","ovate","serrate","wrinkle","normal","No","slight blister","loose leaf","Yes"
"574",574,"black","NA","NA","70","green","oblong","serrate","slight wrinkle","normal","Yes","smooth","closed heading","No"
"575",575,"dark brown","NA","NA","92","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"576",576,"black","NA","NA","NA","green","orbicular","serrate","wrinkle","normal","Yes","slight blister","heading","No"
"577",577,"dark brown","tipburn","110","81","light green","orbicular","serrate","slight wrinkle","thick","Yes","blister","heading","Yes"
"578",578,"white","NA","100","80","green","orbicular","serrate","slight wrinkle","normal","No","slight blister","closed heading","No"
"579",579,"dark brown","NA","120","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"580",580,"black","normal","130","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"581",581,"light brown","NA","100","75","dark green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"582",582,"light brown","NA","120","70","light green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"583",583,"light brown","NA","145","70","green","oblong","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"584",584,"light brown","tipburn","110","81","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"585",585,"light brown","normal","180","70","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"586",586,"light brown","normal","120","69","light green","ovate","entire","slight wrinkle","thin","No","blister","loose leaf","Yes"
"587",587,"light brown","NA","150","85","green","oblong","entire","slight wrinkle","normal","Yes","blister","closed heading","No"
"588",588,"light brown","NA","140","70","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"589",589,"black","normal","180","83","green","orbicular","serrate","slight wrinkle","normal","No","slight blister","heading","No"
"590",590,"black","normal","150","68","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"591",591,"white","NA","140","81","dark green","oblong","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"592",592,"light brown","NA","125","69","green","oblong","crenate","slight wrinkle","thick","Yes","slight blister","closed heading","No"
"593",593,"light brown","NA","120","85","green","lanceolate","dissected","smooth","normal","No","slight blister","loose leaf","Yes"
"594",594,"light brown","NA","120","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"595",595,"black","slight tipburn","130","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"596",596,"black","normal","100","71","dark green","orbicular","crenate","slight wrinkle","thick","No","slight blister","closed heading","No"
"597",597,"black","slight tipburn","120","70","green","orbicular","entire","slight wrinkle","thick","Yes","blister","heading","Yes"
"598",598,"light brown","NA","110","64","dark green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","No"
"599",599,"white","NA","140","64","dark green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"600",600,"white","normal","110","64","light green","ovate","crenate","slight wrinkle","thin","No","blister","loose leaf","Yes"
"601",601,"black","slight tipburn","160","68","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"602",602,"light brown","normal","NA","81","green","orbicular","serrate","wrinkle","normal","Yes","slight blister","heading","Yes"
"603",603,"black","normal","100","64","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"604",604,"light brown","NA","210","69","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"605",605,"dark brown","NA","140","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"606",606,"black","NA","150","54","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"607",607,"black","NA","130","85","green","oblong","crenate","slight wrinkle","thick","Yes","smooth","closed heading","No"
"608",608,"black","normal","160","80","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","Yes"
"609",609,"black","normal","150","70","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","Yes"
"610",610,"light brown","NA","190","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"611",611,"dark brown","NA","190","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"612",612,"light brown","tipburn","140","64","light green","ovate","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"613",613,"light brown","NA","190","NA","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"614",614,"dark brown","NA","170","58","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"615",615,"dark brown","NA","160","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"616",616,"dark brown","NA","210","63","dark green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"617",617,"white","NA","100","68","green","oblong","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"618",618,"black","NA","140","54","dark green","oblong","serrate","slight wrinkle","normal","No","smooth","loose leaf","No"
"619",619,"light brown","NA","140","64","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","No"
"620",620,"dark brown","NA","130","69","light green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","No"
"621",621,"light brown","NA","120","64","light green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"622",622,"light brown","NA","NA","89","green","orbicular","serrate","wrinkle","normal","Yes","slight blister","heading","No"
"623",623,"white","slight tipburn","140","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"624",624,"white","normal","90","79","light green","orbicular","entire","slight wrinkle","thick","Yes","slight blister","heading","No"
"625",625,"white","NA","215","54","dark green","lanceolate","serrate","smooth","normal","No","smooth","loose leaf","No"
"626",626,"dark brown","NA","NA","71","green","lanceolate","dissected","smooth","normal","No","slight blister","loose leaf","No"
"627",627,"black","NA","130","54","dark green","lanceolate","serrate","smooth","normal","No","smooth","loose leaf","No"
"628",628,"black","tipburn","NA","81","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","heading","No"
"629",629,"black","NA","190","54","light purple","lanceolate","entire","smooth","normal","No","smooth","loose leaf","Yes"
"630",630,"white","NA","160","54","dark green","lanceolate","serrate","smooth","normal","No","smooth","loose leaf","No"
"631",631,"black","NA","140","54","dark green","lanceolate","serrate","smooth","normal","No","smooth","loose leaf","Yes"
"632",632,"black","NA","130","54","dark green","oblong","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"633",633,"black","NA","150","54","dark green","lanceolate","crenate","smooth","normal","No","smooth","loose leaf","Yes"
"634",634,"light brown","NA","100","69","green","oblong","crenate","slight wrinkle","thick","Yes","slight blister","heading","No"
"635",635,"black","NA","120","70","green","oblong","crenate","slight wrinkle","thick","Yes","slight blister","heading","No"
"636",636,"black","NA","125","71","green","oblong","crenate","slight wrinkle","thick","Yes","slight blister","heading","Yes"
"637",637,"dark brown","NA","115","63","light purple","oblong","entire","slight wrinkle","normal","Yes","blister","heading","Yes"
"638",638,"light brown","NA","125","68","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"639",639,"light brown","NA","130","71","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"640",640,"dark brown","NA","135","63","NA","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"641",641,"white","NA","110","49","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"642",642,"white","NA","115","64","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"643",643,"white","NA","100","70","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"644",644,"white","NA","110","70","dark green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"645",645,"white","NA","100","81","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"646",646,"white","NA","110","80","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"647",647,"white","NA","120","80","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"648",648,"light brown","NA","150","64","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"649",649,"dark brown","NA","110","79","dark green","oblong","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"650",650,"light brown","NA","125","70","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"651",651,"light brown","NA","130","70","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"652",652,"light brown","NA","135","71","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"653",653,"light brown","NA","130","49","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"654",654,"white","NA","120","71","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"655",655,"light brown","NA","125","49","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"656",656,"white","NA","110","70","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"657",657,"dark brown","NA","135","49","light green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"658",658,"dark brown","NA","95","71","dark green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"659",659,"light brown","NA","100","89","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"660",660,"light brown","NA","120","71","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"661",661,"black","NA","140","63","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"662",662,"white","NA","100","78","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"663",663,"black","NA","125","83","dark green","oblong","entire","slight wrinkle","normal","Yes","blister","heading","No"
"664",664,"light brown","NA","115","71","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","heading","No"
"665",665,"light brown","NA","130","71","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"666",666,"light brown","NA","70","70","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"667",667,"light brown","NA","110","70","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"668",668,"light brown","NA","120","70","green","oblong","crenate","smooth","thin","No","slight blister","closed heading","Yes"
"669",669,"dark brown","NA","70","64","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"670",670,"white","NA","130","70","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"671",671,"light brown","NA","140","69","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"672",672,"black","NA","130","64","green","ovate","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"673",673,"light brown","NA","137.5","54","light green","ovate","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"674",674,"white","NA","145","64","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"675",675,"white","NA","175","64","green","oblong","serrate","smooth","normal","No","slight blister","closed heading","Yes"
"676",676,"dark brown","NA","115","64","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"677",677,"light brown","NA","125","63","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"678",678,"light brown","NA","130","70","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"679",679,"light brown","NA","115","81","light green","oblong","crenate","smooth","thin","No","smooth","closed heading","No"
"680",680,"dark brown","NA","125","63","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"681",681,"light brown","NA","135","49","light green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"682",682,"dark brown","NA","120","54","dark green","oblong","entire","slight wrinkle","thick","No","slight blister","closed heading","Yes"
"683",683,"light brown","NA","114","54","dark green","oblong","crenate","smooth","normal","No","smooth","closed heading","Yes"
"684",684,"light brown","NA","140","49","light green","oblong","entire","smooth","thin","No","slight blister","closed heading","Yes"
"685",685,"black","NA","125","63","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"686",686,"light brown","NA","100","58","dark green","oblong","crenate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"687",687,"dark brown","NA","NA","58","dark green","oblong","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","No"
"688",688,"light brown","NA","122.5","58","green","oblong","entire","slight wrinkle","thick","No","slight blister","closed heading","Yes"
"689",689,"black","NA","150","54","green","oblong","crenate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"690",690,"light brown","NA","177.5","54","dark green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"691",691,"white","NA","107.5","64","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"692",692,"light brown","NA","110","70","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"693",693,"light brown","NA","105","68","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"694",694,"light brown","NA","115","80","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"695",695,"dark brown","NA","120","81","light green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","Yes"
"696",696,"white","NA","120","64","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"697",697,"black","NA","120","80","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"698",698,"white","NA","125","64","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"699",699,"light brown","NA","125","71","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"700",700,"light brown","NA","125","78","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"701",701,"light brown","NA","125","63","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"702",702,"light brown","NA","135","64","green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"703",703,"black","NA","125","64","green","oblong","crenate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"704",704,"black","NA","NA","63","light purple","oblong","crenate","smooth","normal","No","smooth","closed heading","Yes"
"705",705,"white","NA","125","68","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"706",706,"dark brown","NA","130","63","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"707",707,"light brown","NA","130","49","light green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"708",708,"light brown","NA","110","70","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"709",709,"light brown","NA","110","64","light green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"710",710,"light brown","NA","135","64","green","oblong","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"711",711,"light brown","NA","150","58","light green","oblong","crenate","smooth","normal","No","smooth","loose leaf","Yes"
"712",712,"light brown","NA","135","69","green","oblong","crenate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"713",713,"dark brown","NA","135","54","dark green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"714",714,"dark brown","NA","120","69","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"715",715,"black","NA","115","49","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"716",716,"light brown","NA","125","49","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"717",717,"dark brown","NA","135","64","green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"718",718,"light brown","NA","105","63","dark green","oblong","crenate","smooth","thick","No","slight blister","closed heading","Yes"
"719",719,"light brown","NA","130","64","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"720",720,"light brown","NA","150","64","light green","oblong","serrate","smooth","normal","No","slight blister","closed heading","Yes"
"721",721,"light brown","NA","135","63","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"722",722,"NA","slight tipburn","160","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"723",723,"white","NA","100","54","light green","ovate","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","No"
"724",724,"white","normal","140","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"725",725,"white","tipburn","180","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"726",726,"white","normal","140","49","dark green","ovate","entire","slight wrinkle","normal","No","blister","loose leaf","No"
"727",727,"light brown","tipburn","110","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"728",728,"white","slight tipburn","100","58","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"729",729,"white","tipburn","120","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"730",730,"white","normal","110","54","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"731",731,"light brown","tipburn","120","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"732",732,"light brown","tipburn","150","49","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"733",733,"light brown","tipburn","110","70","green","ovate","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"734",734,"light brown","slight tipburn","110","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"735",735,"light brown","slight tipburn","130","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"736",736,"white","tipburn","140","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"737",737,"white","tipburn","120","70","light green","ovate","entire","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"738",738,"white","tipburn","110","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"739",739,"light brown","NA","100","54","light green","oblong","entire","slight wrinkle","normal","No","slight blister","loose leaf","No"
"740",740,"light brown","tipburn","120","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"741",741,"white","slight tipburn","110","68","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"742",742,"white","slight tipburn","80","63","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"743",743,"white","tipburn","NA","64","green","ovate","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"744",744,"white","tipburn","130","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"745",745,"white","slight tipburn","120","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"746",746,"white","slight tipburn","100","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"747",747,"light brown","slight tipburn","120","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"748",748,"white","normal","120","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"749",749,"white","normal","125","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"750",750,"light brown","normal","140","71","dark green","ovate","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"751",751,"light brown","tipburn","110","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"752",752,"NA","NA","135","54","green","oblong","entire","smooth","normal","No","smooth","loose leaf","No"
"753",753,"white","slight tipburn","100","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"754",754,"white","tipburn","150","54","green","ovate","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"755",755,"white","normal","100","69","light green","oblong","crenate","smooth","normal","No","blister","loose leaf","No"
"756",756,"white","slight tipburn","140","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"757",757,"white","tipburn","115","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"758",758,"white","tipburn","100","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"759",759,"white","tipburn","150","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
